ID,LATITUDE,LONGITUDE,FACILITY_NAME,AREA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY_DESCRIPTION,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,,FEE,ACCESSIBILITYT
91rf,53.5385397,-6.0976268,Rush outdoor pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
92rf,53.5382373,-6.0959909,Rush outdoor pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
93rf,53.5209283,-6.1500191,Lusk United FC pitches,Lusk-Rush,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
94rf,53.5215929,-6.1494829,Lusk United FC pitches,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
95rf,53.5214146,-6.1508007,Lusk United FC pitches,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
96rf,53.416632,-6.2635852,Ballymun Kickhams GAA pitch,Swords,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
97rf,53.4172549,-6.2629172,Ballymun Kickhams GAA pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
98rf,53.4168581,-6.2534836,Na Fianna GAA pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
99rf,53.4178331,-6.2562828,Na Fianna GAA pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
100rf,53.4178358,-6.2540335,Na Fianna GAA pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
101rf,53.4154539,-6.2538858,Whitehall Rangers FC pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
102rf,53.5517099,-6.1859902,Man-O-War G.F.C.,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@manowargfc.com,http://www.manowargfc.com/,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
103rf,53.5478121,-6.0866346,Loughsinny United A.F.C. Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.aul.ie/homepage.aspx?oid=1001&cid=10170,N/A,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
104rf,53.5046993,-6.3064898,Fingal Ravens GAA Pitch,Lusk-Rush,Gaa Club,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,,Annual,Unsure though wheelchair access
105rf,53.5514703,-6.0844807,Copperfield Riding Club,Balbriggan,Equestrian,Other,Horse riding,No,membership,no email,,N/A,Outdoor/Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Multiple,Per Lesson/Block of 4,Daytime,Could not be fully determined on visit,All ages,,Per Lesson/Block of 4,Could not be fully determined on visit
106rf,53.4864435,-6.1282445,St. Ita's F.C. - All weather pitch,Lusk-Rush,All Weather Pitch,Pitch Sport,football,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
107rf,53.52160021,-6.164331708,Orlyn Park Tennis Courts,Lusk-Rush,Outdoor Tennis Courts,"Playground, MUGA, Outdoor Gyms, Tennis",Tennis,FCC,Free,no email,,N/A,,Good,,,,,,,,,,
108rf,53.450161,-6.205698,Leaders Gymnastic  Swords,Swords,Private Leisure Facility,Indoor Activity,Gymnastics,No,membership,info@leadergymnastics.ie,leadergymnastics.com,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
109rf,53.443652,-6.218175,Brian May Fitness,Swords,Private Leisure Facility,Indoor Activity,Gym,No,membership,no email,http://www.xtreme.ie/more-info/contacts,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Activity,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,,Per Activity,Could not be fully determined on visit
110rf,53.611547,-6.184073,Blue Dragon Iron Fitness,Balbriggan,Private Leisure Facility,Indoor Activity,Gym,No,membership,no email,https://www.bluedragonironfist.com,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Nightly,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,,Nightly,Could not be fully determined on visit
111rf,53.611073,-6.18352,Elegance Gym,Balbriggan,Private Leisure Facility,Indoor Activity,Gym,No,membership,no email,,N/A,Indoor,Good,Indoor gym,400,Multiple,Monthly/Annual,Daytime/Evening,Inaccessible,All ages,,Monthly/Annual,Inaccessible
112rf,53.611251,-6.183241,Dance arts pilates centre,Balbriggan,Private Leisure Facility,Indoor Activity,"Pilates,crossfit,dance",No,membership,no email,,(01) 841 7163,Indoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Yes wheelchair access with classes run for all,All,,Monthly/Annual,Yes wheelchair access with classes run for all
113rf,53.615494,-6.18434,Balbriggan FC pitches,Balbriggan,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,https://balbrigganfc.ie/,N/A,Outdoor,Fair,4 pitches.,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
114rf,53.616536,-6.188538,O'Dwyer's GAA and Balbriggan FC - All Weather Pitch,Balbriggan,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
115rf,53.617171,-6.196152,O'Dwyer's GAA Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
116rf,53.459419,-6.243487,MUGA Sword Manor Court,Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Soccer and basketball,No,membership,no email,www.swordsmanorfootballclub.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair though unsure of sports,Could not be fully determined on visit,,Annual,Wheelchair though unsure of sports
117rf,53.455072,-6.244083,Rivervalley Sport Ground,Swords,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,www.rivervalleyrangers.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Yes wheelchair access though unsure of sports held,All,,Free,Yes wheelchair access though unsure of sports held
118rf,53.455899,-6.244851,Ward River Valley Park Soccer Pitch,Swords,Outdoor Pitch,Pitch Sport,Soccer,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair path no,Could not be fully determined on visit,,Free,Wheelchair path no
119rf,53.454729,-6.242767,Ward River Valley Park GAA Pitches,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of sports,Could not be fully determined on visit,,Free,Wheelchair access though unsure of sports
120rf,53.524491,-6.271,Ballyboughal GFC All Weather Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,https://ballyboughalgfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
121rf,53.525217,-6.269388,Ballyboughal GFC Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,https://ballyboughalgfc.com,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
122rf,53.466459,-6.213942,Fingallians GAA - All Weather Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,www.fingallians.com,(01) 1840 2518,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of games,All ages,,Annual,Wheelchair access though unsure of games
123rf,53.44715,-6.253916,Ridgewood GAA Pitches,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,,Annual,No wheelchair access to field
124rf,53.586839,-6.19747,Balbriggan Rugby Club All Weather Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"Rugby,soccer",No,membership,info@balbrigganrfc.com,balbrigganrfc.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
125rf,53.490024,-6.173701,Newbridge House Cricket Pitch,Lusk-Rush,Cricket Club,Pitch Sport,Cricket,No,membership,no email,https://www.cricketleinster.ie/clubs/join/swords,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekends,No,Could not be fully determined on visit,,Annual,No
126rf,53.473106,-6.227199,Swords Celtic FC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
127rf,53.467018,-6.221627,St. Colmcilles GFC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,stcolmcillesgfc.ie,(01) 685 4327,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
128rf,53.401433,-6.254866,Trinity College Sports Grounds,Swords,Outdoor Pitch,Pitch Sport,Field sports,Yes,membership,no email,https://www.tcd.ie/Sport/facilities/santry/,(01) 896 1812,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Could not be fully determined on visit,All,,Monthly/Annual,Could not be fully determined on visit
129rf,53.4081,-6.2506,Sportslink Outdoor Football Pitches,Swords,Outdoor Pitch,Pitch Sport,Field sports,Yes,membership,info@sportslink.ie,http://www.sportslink.ie/,(01) 862 1200,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Yes,All ages,,Monthly/Annual,Yes
130rf,53.413354,-6.241788,Whitehall GAA Pitch,Swords,Outdoor Pitch,Pitch Sport,Field sports,No,membership,no email,https://www.mylocalpitch.com/dublin/venue/royal-college-of-surgeons-sports-grounds,N/A,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
131rf,53.417211,-6.232288,A.L.S.A.A. Football pitches,Swords,Outdoor Pitch,Pitch Sport,"Soccer,Rugby",Yes,membership,info@alsaa.ie,https://www.alsaa.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes but no use here from members with a disability,All ages,,Annual,Yes but no use here from members with a disability
132rf,53.530931,-6.162455,Lusk United Football Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,info@luskunited.ie,http://www.aul.ie/homepage.aspx?oid=1001&cid=10056&compId=1192,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
133rf,53.4495738,-6.2441392,Cedar Green Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No footpath for wheelchair access,All ages,,Free,No footpath for wheelchair access
134rf,53.474522,-6.232575,Outdoor Basketball Court,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,free,info@applewoodcc.ie,http://www.applewoodcc.ie,(01) 8079582,Outdoor,Fair,Soccer and basketball,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
135rf,53.48578,-6.149823,Donabate Parish Hall,Lusk-Rush,Parish Centre,Other,Parish,No,free,no email,www.donabateparish.ie/contact,(01) 8434 574,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,,Free,Could not be fully determined on visit
136rf,53.401239,-6.250469,Santry Demense Outdoor Gym Equipment,Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,All ages,,Free,Wheelchair access
137rf,53.494379,-6.110061,Portrane Outdoor Gym Equipment,Lusk-Rush,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes accessible to all though the ground (sand) May impede,All,,Free,Yes accessible to all though the ground (sand) May impede
138rf,53.614807,-6.182975,Balbriggan Outdoor Gym Equipment,Balbriggan,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
139rf,53.457302,-6.241634,Ward River Valley Park Outdoor Equipment,Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
140rf,53.584759,-6.193075,Balrothery Park Outdoor Gym Equipment,Balbriggan,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes available for use by all,All ages,,Free,Yes available for use by all
141rf,53.489718,-6.170511,Swords Outdoor Gym Equipment,Lusk-Rush,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Outdoor gym,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,All,,Free,Yes
142rf,53.452696,-6.293585,MUGA Rivermeade,Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Soccer and basketball,FCC,free,customercareunit@fingal.ie,http://www.visitfingal.ie/activitie/public-playgrounds/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Could not be fully determined on visit,,Free,Wheelchair access
143rf,53.465876,-6.218757,MUGA Belheary Park,Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Soccer and basketball,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches/pitchesinfingal/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
144rf,53.534576,-6.096563,Playground,Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes for all,Kids,,Free,Yes for all
145rf,53.398582,-6.247508,Santry Demense Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes wheelchair accessible,Children and parents,,Free,Yes wheelchair accessible
146rf,53.462338,-6.219698,Swords Town Park,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,customercareunit@fingal.ie,www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Gated access,children,,Free,Gated access
147rf,53.457298,-6.24165,River Valley Park Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No wheelchair access,Children and parents,,Free,No wheelchair access
148rf,53.616083,-6.205567,Dun Saithne Play Area,Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,"Gated access,",Children and parents,,Free,"Gated access,"
149rf,53.612591,-6.192508,Chapel Estate Play Area,Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Young kids and parents,,Free,Wheelchair access
150rf,53.585126,-6.156697,Ardgillan Demense Play Area,Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Kids,,Free,Yes
151rf,53.585486,-6.102042,Red Island Play Area,Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes with wheelchair access,Kids and parents,,Free,Yes with wheelchair access
152rf,53.486582,-6.173682,Newbridge House Playground,Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Children and parents,,Free,Yes
153rf,53.448729,-6.232753,Boro Court Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
154rf,53.445909,-6.211024,Holywell Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes for all,Children and parents,,Free,Yes for all
155rf,53.442496,-6.210617,Holywell Crescent Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Children and parents,,Free,Yes
156rf,53.459351,-6.243037,Ward River Valley Park Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,https://bit.ly/2K6N1LO,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Children and parents,,Free,Wheelchair access
157rf,53.473175,-6.231223,Applewood Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Gated access,Could not be fully determined on visit,,Free,Gated access
158rf,53.5162494,-6.2660127,Ballyboughal Doorage Play Area,Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes available for everyone,kids,,Free,Yes available for everyone
159rf,53.612713,-6.197984,Moyleigh Road Play Area,Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Kids and parents,,Free,Wheelchair access
160rf,53.526404,-6.179583,Dun Emer Playground,Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Kids,,Free,Could not be fully determined on visit
161rf,53.523099,-6.082369,Harbour Park Playground,Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Used by all with access for wheelchairs,Kids,,Free,Used by all with access for wheelchairs
162rf,53.449471,-6.24323,Cedar Green Play Area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,FCC,free,BalSwoOpArea@fingalcoco.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes wheelchair accessible,Kids and parents,,Free,Yes wheelchair accessible
163rf,53.465539,-6.218657,Swords Skatepark,Swords,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Skate Park,FCC,free,no email,www.fingaldublin.ie/interior-pages/activities-attractions-amp-conference/fingal-for-kids,(01) 840 0077,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
164rf,53.422269,-6.229762,A.L.S.A.A. Sports Centre,Swords,Private Leisure Facility,Indoor Activity,Athletics,Yes,membership,info@alsaa.ie,https://www.alsaa.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Yes,All ages,,Annual,Yes
165rf,53.45998,-6.220497,Swords Castle,Swords,Heritage Site Which Caters For Sport,"Playground, MUGA, Outdoor Gyms, Tennis",Variety,No,entry fee,no email,https://bit.ly/2HFUGPp,(01) 8400891,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
166rf,53.486366,-6.168359,Newbridge House,Lusk-Rush,Heritage Site Which Caters For Sport,"Playground, MUGA, Outdoor Gyms, Tennis",Variety,No,entry fee,info@newbridgehouseandfarm.com,www.newbridgehouseandfarm.com,(01) 843 6534,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Multiple,Entry fee/Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Entry fee/Annual,Could not be fully determined on visit
