X,Y,LATITUDE,LONGITUDE,FACILITY_NAME,LEA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY,ACTIVITY_DESCRIPTION,COMMERCIAL_OR_NON-COMMERCIAL,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,X_ITM,Y_ITM,OBJECT_ID
-688716.3571,7097952.829,53.6170055,-6.1868443,O'Dwyer's GAA and Balbriggan FC Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719960.2615,764548.3126,77
-688836.4374,7098186.72,53.6182518,-6.187923,O'Dwyer's GAA and Balbriggan FC Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719885.3688,764685.1595,78
-688966.1803,7098359.154,53.6191706,-6.1890885,O'Dwyer's GAA and Balbriggan FC Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719805.6659,764785.4233,79
-680283.9168,7090586.681,53.5777358,-6.1110944,Skerries Community Centre,LEA-5 - Balbriggan,Community Centre,Indoor Activity,Multiple,Other,Non Commercial,,,no email,,N/A,,,,,,,,,,725087.4022,760309.5623,80
-680287.6126,7090473.306,53.5771311,-6.1111276,Skerries - All weather pitch,LEA-5 - Balbriggan,All Weather Pitch,Pitch Sport,Multiple,"football, Hockey",Non Commercial,,,no email,,N/A,,,,,,,,,,725086.9892,760242.2255,81
-680081.6048,7090194.159,53.5756422,-6.109277,Skerries outdoor pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,725213.9288,760079.825,82
-680067.9459,7090365.182,53.5765544,-6.1091543,Skerries outdoor pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,725219.3578,760181.5315,83
-679923.4086,7090204.977,53.5756999,-6.1078559,Skerries outdoor pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,725307.861,760088.7452,84
-679263.5623,7089510.554,53.5719958,-6.1019284,Skerries R.F.C. Pitch,LEA-5 - Balbriggan,Rugby Club,Pitch Sport,Single,Rugby,Non Commercial,No,membership,no email,http://www.skerriesrfc.ie/,(01) 849 0066,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though no sports offered,All ages,725711.3585,759687.0808,85
-679454.7647,7089585.672,53.5723965,-6.103646,Skerries R.F.C. Pitch,LEA-5 - Balbriggan,Rugby Club,Pitch Sport,Single,Rugby,Non Commercial,No,membership,no email,http://www.skerriesrfc.ie/,(01) 849 0066,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though no sports offered,All ages,725596.4245,759728.6307,86
-679824.2898,7082110.477,53.5325031,-6.1069655,St. Maur's GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,725494.6016,755284.2885,87
-679752.9674,7082277.393,53.5333943,-6.1063248,St. Maur's GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,725534.4344,755384.571,88
-679952.5187,7082137.785,53.5326489,-6.1081174,St. Maur's GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,725417.8161,755298.4811,89
-678310.1666,7083325.396,53.5389894,-6.0933639,Rush A.F.C. Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://rushafc.webnode.com/,(01) 843 0569,Outdoor,Good,Could not be fully determined,11 a side Soccer,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes but poor enough,All ages,726376.8725,756029.9933,90
-678784.7104,7083241.159,53.5385397,-6.0976268,Rush outdoor pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,726095.6833,755972.4047,91
-678602.6029,7083184.514,53.5382373,-6.0959909,Rush outdoor pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,726205.0041,755941.6577,92
-684616.9946,7079942.919,53.5209283,-6.1500191,Lusk United FC pitches,LEA-5 - Lusk-Rush,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,722674.1991,753921.4939,93
-684557.3051,7080067.359,53.5215929,-6.1494829,Lusk United FC pitches,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,722707.8305,753996.3601,94
-684704.0019,7080033.974,53.5214146,-6.1508007,Lusk United FC pitches,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,722620.971,753974.2535,95
-697259.115,7060438.493,53.416632,-6.2635852,Ballymun Kickhams GAA pitch,LEA7 - Swords,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,715426.8747,742127.9117,96
-697184.7536,7060554.839,53.4172549,-6.2629172,Ballymun Kickhams GAA pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,715469.5878,742198.2961,97
-696134.61,7060480.724,53.4168581,-6.2534836,Na Fianna GAA pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,716097.6951,742169.4597,98
-696446.2156,7060662.838,53.4178331,-6.2562828,Na Fianna GAA pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,715908.9862,742273.3855,99
-696195.8246,7060663.342,53.4178358,-6.2540335,Na Fianna GAA pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,716058.4818,742277.343,100
-696179.3827,7060218.45,53.4154539,-6.2538858,Whitehall Rangers FC pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,716074.786,742012.5752,101
-688621.2791,7085708.553,53.5517099,-6.1859902,Man-O-War G.F.C.,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@manowargfc.com,http://www.manowargfc.com/,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,720201.9209,757284.9138,102
-677561.0643,7084978.233,53.5478121,-6.0866346,Loughsinny United A.F.C. Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.aul.ie/homepage.aspx?oid=1001&cid=10170,N/A,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,726796.4848,757023.5531,103
-702035.2332,7076904.786,53.5046993,-6.3064898,Fingal Ravens GAA Pitch,LEA-5 - Lusk-Rush,Gaa Club,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,712342.3075,751857.7841,104
-677321.2933,7085663.658,53.5514703,-6.0844807,Copperfield Riding Club,LEA-5 - Balbriggan,Equestrian,Other,Single,Horse riding,Commercial,No,membership,no email,,N/A,Outdoor/Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Multiple,Per Lesson/Block of 4,Daytime,Could not be fully determined on visit,All ages,726928.2564,757434.3954,105
-682193.0572,7073488.619,53.4864435,-6.1282445,St. Ita's F.C. - All weather pitch,LEA-5 - Lusk-Rush,All Weather Pitch,Pitch Sport,Multiple,football,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,724218.7421,750122.4882,106
-686210.2668,7080068.728,53.52160021,-6.164331708,Orlyn Park Tennis Courts,LEA-5 - Lusk-Rush,Outdoor Tennis Courts,"Playground, MUGA, Outdoor Gyms, Tennis",Single,Tennis,Non Commercial,FCC,Free,no email,,N/A,,Good,,,,,,,,721723.2837,753971.6995,107
-690815.1414,7066703.518,53.450161,-6.205698,Leaders Gymnastic  Swords,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gymnastics,Commercial,No,membership,info@leadergymnastics.ie,leadergymnastics.com,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,719180.6666,745953.5263,108
-692204.0747,7065486.899,53.443652,-6.218175,Brian May Fitness,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,no email,http://www.xtreme.ie/more-info/contacts,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Activity,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,718370.0976,745208.5596,109
-688407.8574,7096928.522,53.611547,-6.184073,Blue Dragon Iron Fitness,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,no email,https://www.bluedragonironfist.com,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Nightly,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,720159.0964,763945.669,110
-688346.2977,7096839.581,53.611073,-6.18352,Elegance Gym,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,no email,,N/A,Indoor,Good,Indoor gym,400,Multiple,Monthly/Annual,Daytime/Evening,Inaccessible,All ages,720197.031,763893.8651,111
-688315.2396,7096872.981,53.611251,-6.183241,Dance arts pilates centre,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,"Pilates,crossfit,dance",Commercial,No,membership,no email,,(01) 841 7163,Indoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Yes wheelchair access with classes run for all,All,720214.9849,763914.1409,112
-688437.5797,7097669.177,53.615494,-6.18434,Balbriggan FC pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,https://balbrigganfc.ie/,N/A,Outdoor,Fair,4 pitches.,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,720130.224,764384.3662,113
-688904.8989,7097864.72,53.616536,-6.188538,O'Dwyer's GAA and Balbriggan FC - All Weather Pitch,LEA-5 - Balbriggan,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719849.5457,764493.2211,114
-689752.4855,7097983.888,53.617171,-6.196152,O'Dwyer's GAA Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719344.0479,764551.0741,115
-695021.7936,7068434.283,53.459419,-6.243487,MUGA Sword Manor Court,LEA7 - Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Soccer and basketball,Non Commercial,No,membership,no email,www.swordsmanorfootballclub.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair though unsure of sports,Could not be fully determined on visit,716645.5087,746921.0721,116
-695088.14,7067621.572,53.455072,-6.244083,Rivervalley Sport Ground,LEA7 - Swords,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,www.rivervalleyrangers.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Yes wheelchair access though unsure of sports held,All,716617.8455,746436.4515,117
-695173.6334,7067776.181,53.455899,-6.244851,Ward River Valley Park Soccer Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair path no,Could not be fully determined on visit,716564.5788,746527.2074,118
-694941.6436,7067557.449,53.454729,-6.242767,Ward River Valley Park GAA Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of sports,Could not be fully determined on visit,716706.1792,746400.4426,119
-698084.5268,7080610.026,53.524491,-6.271,Ballyboughal GFC All Weather Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,https://ballyboughalgfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,714642.9431,754116.3692,120
-697905.0797,7080745.974,53.525217,-6.269388,Ballyboughal GFC Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,https://ballyboughalgfc.com,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,714747.8562,754199.7403,121
-691732.8593,7069750.649,53.466459,-6.213942,Fingallians GAA - All Weather Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,www.fingallians.com,(01) 1840 2518,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of games,All ages,718587.7088,747753.0804,122
-696182.7446,7066140.698,53.44715,-6.253916,Ridgewood GAA Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,715986.4385,745539.0146,123
-689899.2046,7092293.635,53.586839,-6.19747,Balbriggan Rugby Club All Weather Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"Rugby,soccer",Non Commercial,No,membership,info@balbrigganrfc.com,balbrigganrfc.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719342.3432,761174.087,124
-687253.2516,7074158.514,53.490024,-6.173701,Newbridge House Cricket Pitch,LEA-5 - Lusk-Rush,Cricket Club,Pitch Sport,Single,Cricket,Non Commercial,No,membership,no email,https://www.cricketleinster.ie/clubs/join/swords,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekends,No,Could not be fully determined on visit,721192.1213,750442.5862,125
-693208.6217,7070993.732,53.473106,-6.227199,Swords Celtic FC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717689.1817,748470.6524,126
-692588.3495,7069855.183,53.467018,-6.221627,St. Colmcilles GFC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,stcolmcillesgfc.ie,(01) 685 4327,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,718075.9491,747802.5184,127
-696288.4981,7057600.127,53.401433,-6.254866,Trinity College Sports Grounds,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,Field sports,Non Commercial,Yes,membership,no email,https://www.tcd.ie/Sport/facilities/santry/,(01) 896 1812,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Could not be fully determined on visit,All,716047.7927,740451.0293,128
-695813.6092,7058845.043,53.4081,-6.2506,Sportslink Outdoor Football Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Field sports,Non Commercial,Yes,membership,info@sportslink.ie,http://www.sportslink.ie/,(01) 862 1200,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Monthly/Annual,Daytime/Evening,Yes,All ages,716313.2584,741199.739,129
-694832.6618,7059826.251,53.413354,-6.241788,Whitehall GAA Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Field sports,Non Commercial,No,membership,no email,https://www.mylocalpitch.com/dublin/venue/royal-college-of-surgeons-sports-grounds,N/A,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,716884.686,741798.6952,130
-693775.1266,7060546.639,53.417211,-6.232288,A.L.S.A.A. Football pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,"Soccer,Rugby",Non Commercial,Yes,membership,info@alsaa.ie,https://www.alsaa.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes but no use here from members with a disability,All ages,717505.5471,742243.4272,131
-686001.3526,7081816.043,53.530931,-6.162455,Lusk United Football Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,info@luskunited.ie,http://www.aul.ie/homepage.aspx?oid=1001&cid=10056&compId=1192,N/A,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,721820.9337,755013.0453,132
-695094.3962,7066593.755,53.4495738,-6.2441392,Cedar Green Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No footpath for wheelchair access,All ages,716629.1785,745824.6322,133
-693807.0753,7071258.569,53.474522,-6.232575,Outdoor Basketball Court,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,Soccer,Non Commercial,No,free,info@applewoodcc.ie,http://www.applewoodcc.ie,(01) 8079582,Outdoor,Fair,Soccer and basketball,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,717328.417,748619.334,134
-684595.1648,7073364.487,53.48578,-6.149823,Donabate Parish Hall,LEA-5 - Lusk-Rush,Parish Centre,Other,Multiple,Parish,Non Commercial,No,free,no email,www.donabateparish.ie/contact,(01) 8434 574,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,722788.7509,750011.2755,135
-695799.0263,7057563.905,53.401239,-6.250469,Santry Demense Outdoor Gym Equipment,LEA7 - Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,All ages,716340.6872,740436.6055,136
-680168.8792,7074973.391,53.494379,-6.110061,Portrane Outdoor Gym Equipment,LEA-5 - Lusk-Rush,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes accessible to all though the ground (sand) May impede,All,725401.9441,751037.2208,137
-688285.6286,7097540.257,53.614807,-6.182975,Balbriggan Outdoor Gym Equipment,LEA-5 - Balbriggan,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,720222.4802,764310.2352,138
-694815.5186,7068038.48,53.457302,-6.241634,Ward River Valley Park Outdoor Equipment,LEA7 - Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716774.3598,746688.5686,139
-689409.9554,7091903.579,53.584759,-6.193075,Balrothery Park Outdoor Gym Equipment,LEA-5 - Balbriggan,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes available for use by all,All ages,719639.1752,760950.0421,140
-686898.1425,7074101.261,53.489718,-6.170511,Swords Outdoor Gym Equipment,LEA-5 - Lusk-Rush,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Outdoor gym,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/sports-and-fitness/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,All,721404.6609,750413.9703,141
-700598.6775,7067177.393,53.452696,-6.293585,MUGA Rivermeade,LEA7 - Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Soccer and basketball,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.visitfingal.ie/activitie/public-playgrounds/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Could not be fully determined on visit,713336.8224,746092.2749,142
-692268.8626,7069641.629,53.465876,-6.218757,MUGA Belheary Park,LEA7 - Swords,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Soccer and basketball,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches/pitchesinfingal/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,718269.6613,747680.2176,143
-678666.2887,7082498.722,53.534576,-6.096563,Playground,LEA-5 - Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes for all,Kids,726177.9747,755533.294,144
-695469.4093,7057067.825,53.398582,-6.247508,Santry Demense Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,customercareunit@fingal.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes wheelchair accessible,Children and parents,716544.832,740145.8231,145
-692373.6142,7068980.062,53.462338,-6.219698,Swords Town Park Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Gated access,children,718217.018,747285.0213,146
